X,Y,OBJECTID,island,area,name,address,zipcode,type,units,year_open
-157.824456219905,21.2747959686655,1,Oahu,Honolulu,Aston Waikiki Circle Hotel,2464 Kalakaua Avenue,96815,HOTEL,104,1963
-157.820797029979,21.2743566589621,2,Oahu,Honolulu,Aston Waikiki Sunset,229 Paoakalani Avenue,96815,CONDOMINIUM HOTEL,232,1979
-157.821496466391,21.274899569983,3,Oahu,Honolulu,Aston at the Waikiki Banyan,201 Ohua Avenue,96815,CONDOMINIUM HOTEL,146,1979
-157.824004500384,21.2750370004323,4,Oahu,Honolulu,Aston Waikiki Beach Tower,2470 Kalakaua Avenue,96815,CONDOMINIUM HOTEL,120,1984
-155.98231302263,19.6150067831156,5,Hawaii,Kailua Kona,Aston Kona by the Sea,75-6106 Alii Drive,96740,CONDOMINIUM HOTEL,65,1982
-155.885062261097,19.9214219353298,6,Hawaii,Waikoloa,Aston Shores at Waikoloa,69-1035 Keana Place,96738,CONDOMINIUM HOTEL,87,1987
-155.876557982197,19.9226687631145,7,Hawaii,Waikoloa,Aston Waikoloa Colony Villas,69-555 Waikoloa Beach Drive,96738,CONDOMINIUM HOTEL,121,2003
-156.693148732009,20.9228128961697,8,Maui,Lahaina,Aston at The Whaler on Kaanapali Beach,2481 Kaanapali Parkway,96761,CONDOMINIUM HOTEL,328,1975
-156.687027798938,20.9517530707059,9,Maui,Lahaina,Aston at Papakea Resort,3543 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,348,1976
-156.688147933998,20.9486929292251,10,Maui,Lahaina,Aston Kaanapali Shores,3445 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,450,1980
-156.691341775772,20.9346775586759,11,Maui,Lahaina,Aston Maui Kaanapali Villas,45 Kai Ala Drive,96761,CONDOMINIUM HOTEL,250,1966
-156.443758522802,20.7068201452216,12,Maui,Kihei,Aston Maui Hill,2881 South Kihei Road,96753,CONDOMINIUM HOTEL,130,1981
-156.446061727253,20.7161167202692,13,Maui,Kihei,Aston at the Maui Banyan,2575 South Kihei Road,96753,CONDOMINIUM HOTEL,244,1990
-156.691529575244,20.9467068782821,14,Maui,Lahaina,Aston Mahana at Kaanapali,110 Kaanapali Shores Place,96761,CONDOMINIUM HOTEL,201,1974
-156.686418200644,20.953518274803,15,Maui,Lahaina,Aston Paki Maui,3615 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,97,1976
-159.328727070305,22.0534377532187,16,Kauai,Kapaa,Aston Islander on the Beach,440 Aleka Place,96746,CONDOMINIUM HOTEL,103,1970
-159.445013747756,21.8760704751722,17,Kauai,Koloa,Aston at Poipu Kai,1775 Poipu Road,96756,CONDOMINIUM HOTEL,295,1980
-159.354746942033,21.958060218341,18,Kauai,Lihue,Banyan Harbor Resort,3411 Wilcox Road,96766,CONDOMINIUM HOTEL,124,1978
-159.32731219629,22.0553130629611,19,Kauai,Kapaa,Plantation Hale Suites,525 Aleka Loop,96746,CONDOMINIUM HOTEL,134,1973
-157.823609744596,21.2767370065524,20,Oahu,Honolulu,Aqua Pacific Monarch Hotel,2427 Kuhio Avenue,96815,CONDOMINIUM HOTEL,198,1976
-157.822398750409,21.2728582046763,21,Oahu,Honolulu,Renew,129 Paoakalani Avenue,96815,HOTEL,72,1967
-157.823731698161,21.27630637824,22,Oahu,Honolulu,Royal Grove Hotel,151 Uluniu Avenue,96815,HOTEL,77,1952
-157.825686061386,21.2802655930042,23,Oahu,Honolulu,White Sands,431 Nohonani Street,96815,HOTEL,95,1959
-155.288874131036,19.3979894607171,24,Hawaii,Hawaii National Park,Volcano House,1 Crater Rim Drive,96718,HOTEL,43,1941
-157.826522845862,21.2797930629749,25,Oahu,Honolulu,Ohia Waikiki,2280 Kuhio Avenue,96815,HOTEL,251,1972
-157.823230499763,21.2746589999927,26,Oahu,Honolulu,Alohilani Resort Waikiki Beach,2490 Kalakaua Avenue,96815,HOTEL,839,1969
-157.831226999631,21.2844060001354,27,Oahu,Honolulu,Ambassador Hotel Waikiki,2040 Kuhio Avenue,96815,HOTEL,300,1965
-155.85913215494,19.9510733841278,28,Hawaii,Kohala Coast,Fairmont Orchid,1 North Kaniku Drive,96743,HOTEL,540,1990
-156.89628077879,20.7420047502423,29,Lanai,Lanai City,Four Seasons Resort Lanai,1 Manele Bay Road,96763,HOTEL,213,1990
-156.441082628614,20.6795439800161,30,Maui,Kihei,Four Seasons Resort Maui at Wailea,3900 Wailea Alanui Drive,96753,HOTEL,383,1990
-155.991616512009,19.6392319755514,31,Hawaii,Kailua-Kona,Holiday Inn Express & Suites Kailua Kona,75-146 Sarona Road,96740,HOTEL,75,2014
-155.948939714903,19.6183605129351,32,Hawaii,Holualoa,Holualoa Inn,76-5932 Mamalahoa Highway,96725,BED & BREAKFAST,8,1987
-158.058602999829,21.6572220003878,33,Oahu,Haleiwa,Aloha From The Sunset Beach House,59-531 Ke Iki Road,96712,INDIVIDUAL VACATION UNIT,1,NA
-155.876106852628,19.2334521667043,34,Hawaii,Captain Cook,Belle Vue Kona,Mamalahoa Highway,96704,BED & BREAKFAST,2,2003
-156.327623015577,20.7543041464423,35,Maui,Kula,Upcountry Bed & Breakfast,4925 Lower Kula Road,96790,BED & BREAKFAST,4,2001
-155.880646152587,19.4004247801129,36,Hawaii,Captain Cook,Hale Hoola Bed & Breakfast,85-4577 Mamalahoa Highway,96704,,3,1998
-155.958184285667,19.6220389995685,37,Hawaii,Kailua-Kona,Hale Maluhia Country Inn,76-770 Hualalai Road,96740,BED & BREAKFAST,7,1992
-155.805261338181,20.235588834404,38,Hawaii,Kapa'au,Hawaii Island Retreat at Ahu Pohaku Hoomaluhia,250 Maluhia Road,96755,HOTEL,18,2009
-155.087464517334,19.7196533026181,39,Hawaii,Hilo,Hilo Bay Hale Bed and Breakfast,301 Ponahawai Street,96720,BED & BREAKFAST,3,2009
-155.877015840369,19.3641547636839,40,Hawaii,Captain Cook,Horizon Guest House,86-3992 Mamalahoa Highway,96704,BED & BREAKFAST,3,1998
-156.91805614478,20.8248267877179,41,Lanai,Lanai City,Hotel Lanai,828 Lanai Avenue,96763,HOTEL,11,1923
-156.951957822911,21.0675116248143,42,Molokai,Kawela Gardens,Ka Hale Mala B & B,35 Kamakana Place,96748,BED & BREAKFAST,1,1995
-156.692939397857,20.9241053006003,43,Maui,Lahaina,Kaanapali Beach Hotel,2525 Kaanapali Parkway,96761,HOTEL,432,1964
-159.379210319404,22.1994065280811,44,Kauai,Kilauea,Kilauea Lakeside Estate,4613 G Waiakalua,96754,INDIVIDUAL VACATION UNIT,1,1992
-155.213147765378,19.4251518271366,45,Hawaii,Volcano,Kipuka Cottage,11-3798 Nahelenani Street,96785,INDIVIDUAL VACATION UNIT,1,
-156.307738968347,20.7781960871326,46,Maui,Kula,Kula Lodge,15200 Haleakala Highway,96790,HOTEL,5,1949
-155.78487253827,19.0902317489455,47,Hawaii,Ocean View,Leilani Bed & Breakfast,92-8822 Leilani Parkway,96737,BED & BREAKFAST,3,2005
-156.376274193247,20.9087461042155,48,Maui,Paia,Mangolani B&B,325 Baldwin Avenue,96779,BED & BREAKFAST,6,
-157.747025346816,21.4180626019741,49,Oahu,Kailua,Manu Mele Bed & Breakfast,153 Kailuana Place,96734,BED & BREAKFAST,2,1988
-156.217622631781,20.905560331649,50,Maui,Haiku,Maui Eco Retreat,610 Huelo Road,96708,BED & BREAKFAST,5,
-154.892399999816,19.5564599996914,51,Hawaii,Volcano,Ohana House,11-3741A Ala Ohia,96778,INDIVIDUAL VACATION UNIT,1,2005
-157.833286469006,21.4603773530076,52,Oahu,Kaneohe,Paradise Bay Resort,47-039 Lihikai Drive,96744,HOTEL,46,2010
-157.736753729759,21.3984987918645,53,Oahu,Kailua,Sheffield House,131 Kuulei Road,96734,BED & BREAKFAST,2,1987
-156.444662722196,20.7017406788188,54,Maui,Kihei,Sunny Surf,3080 South Kihei Road,96753,INDIVIDUAL VACATION UNIT,1,
-155.100183361054,19.7211458584334,55,Hawaii,Hilo,The Falls at Reed's Island,286 Kalulani Street,96720,INDIVIDUAL VACATION UNIT,1,2004
-157.773999354945,21.2716775885902,56,Oahu,Honolulu,The Kahala Hotel & Resort,5000 Kahala Avenue,96816,HOTEL,338,1963
-156.653898537933,21.0007032629118,57,Maui,Lahaina,The Ritz-Carlton Kapalua,1 Ritz Carlton Drive,96761,HOTEL,466,1992
-157.832380463222,21.2794562943328,58,Oahu,Honolulu,Trump International Hotel Waikiki,223 Saratoga Road,96815,HOTEL,377,2009
-155.233507600253,19.428611700144,59,Hawaii,Volcano,Volcano Village Lodge,19-4183 Road E,96785,BED & BREAKFAST,5,2006
-159.675313114265,21.9595026241382,60,Kauai,Waimea,Waimea Plantation Cottages,9400 Kaumualii Highway,96796,HOTEL,59,1984
-156.321326893361,20.9221058030409,61,Maui,Haiku,Hale Mauka Makai,279 Pauwela Road,96708,INDIVIDUAL VACATION UNIT,1,1997
-155.961305650917,19.55832825769,62,Hawaii,Kailua-Kona,Wyndham Mauna Loa Village,78-7190 Kaleiopapa Street,96740,TIMESHARE,53,1983
-155.961305650917,19.55832825769,63,Hawaii,Kailua-Kona,Shell Vacations Holua Resort at Mauna Loa Village,78-7190 Kaleiopapa Street,96740,TIMESHARE,73,1983
-159.327269659257,22.0551018017697,64,Kauai,Kapaa,Shell Vacations Kaua‘i Coast Resort at the Beachboy,520 Aleka Loop,96746,TIMESHARE,108,1969
-155.964275793448,19.5713127872036,65,Hawaii,Kailua Kona,Shell Vacations Kona Coast Resort,78-6842 Alii Drive,96740,TIMESHARE,268,1981
-155.79469560868,19.9254380001545,66,Hawaii,Waikoloa,Shell Vacations Paniolo Greens Resort,68-1745 Waikoloa Road,96738,TIMESHARE,162,1991
-157.838470768105,21.2850148835794,67,Oahu,Honolulu,Shell Vacations Waikiki Marina Resort at The Ilikai,1777 Ala Moana Boulevard,96815,TIMESHARE,1045,1964
-156.444920077768,20.7226214314126,68,Maui,Kihei,WorldMark at Kihei,75 Alanui Ke Alii Drive,96753,TIMESHARE,200,2001
-155.98671903332,19.6251415848661,69,Hawaii,Kailua-Kona,WorldMark at Kona,75-5949 Alii Drive,96740,TIMESHARE,64,1997
-156.67852823106,20.9714922630899,70,Maui,Lahaina,WorldMark at Valley Isle,4327 Lower Honoapiilani Road,96761,TIMESHARE,14,1973
-159.319589572541,22.063779770361,71,Kauai,Kapaa,WorldMark Kapaa Shore,4-900 Kuhio Highway,96746,TIMESHARE,49,1978
-157.829988498357,21.2842386970111,72,Oahu,Honolulu,Wyndham Vacation Resorts Royal Garden at Waikiki,440 Olohana Street,96815,TIMESHARE,140,1993
-157.830695891264,21.2793916183007,73,Oahu,Honolulu,Wyndham at Waikiki Beach Walk,227 Lewers Street,96815,TIMESHARE,195,2006
-159.481499993804,22.2223510016028,74,Kauai,Princeville,Wyndham Bali Hai Villas,4970 Pepelani Loop,96722,TIMESHARE,259,1995
-159.471078579739,22.2191467439922,75,Kauai,Princeville,Wyndham Ka Eo Kai,3970 Wyllie Road,96722,TIMESHARE,87,1982
-156.446556970464,20.7181352833874,76,Maui,Kihei,Hale Pau Hana Resort,2480 South Kihei Road,96753,CONDOMINIUM HOTEL,79,1969
-156.505033264324,20.796749563023,77,Maui,Wailuku,Kanai A Nalu,250 Hauoli Street,96793,INDIVIDUAL VACATION UNIT,69,1976
-156.458241887693,20.7693857462911,78,Maui,Kihei,Wailana Kai,34 Wailana Place,96753,INDIVIDUAL VACATION UNIT,7,1985
-155.06402292267,19.7280716189017,79,Hawaii,Hilo,Pagoda Hilo Bay,121 Banyan Drive,96720,APARTMENT/ HOTEL,95,1973
-159.494643234042,22.2219753274159,80,Kauai,Princeville,Emmalani Court,5250 Ka Haku Road,96722,INDIVIDUAL VACATION UNIT,25,2005
-156.685820667334,20.9342447229374,81,Maui,Lahaina,Kaanapali Plantation,150 Puukolii Road,96761,INDIVIDUAL VACATION UNIT,22,
-156.446130428343,20.7164724936761,82,Maui,Kihei,Kihei Akahi,2531 South Kihei Road,96753,INDIVIDUAL VACATION UNIT,199,1977
-156.690730107546,20.9262771510528,83,Maui,Lahaina,Maui Eldorado,2661 Kekaa Drive,96761,INDIVIDUAL VACATION UNIT,186,1969
-156.509761490619,20.7932027783152,84,Maui,Wailuku,Milowai-Maalaea,50 Hauoli Street,96793,INDIVIDUAL VACATION UNIT,24,2004
-156.678954185894,20.9739335548948,85,Maui,Kahana,Pohailani,4435 Lower Honoapiilani Road,96761,INDIVIDUAL VACATION UNIT,70,
-159.320858384165,22.0613507315704,86,Kauai,Kapaa,Waipouli Beach Resort,4-820 Kuhio Highway,96746,INDIVIDUAL VACATION UNIT,184,2006
-156.503962500015,20.8918008007089,87,Maui,Wailuku,Banana Bungalow / Maui Hostel,310 North Market Street,96793,HOSTEL,28,1990
